tier,iter,status,T0,T4,duration_s,rc,dr
512,1,PASS,1787708016.210137000,1787708033.856898000,17.646761178970337,0,0
512,2,PASS,1787708040.974251000,1787708057.530951000,16.556699991226196,0,0
512,3,PASS,1787708063.811055000,1787708081.393561000,17.58250594139099,0,0
512,4,PASS,1787708087.842290000,1787708105.550366000,17.708076000213623,0,0
512,5,PASS,1787708112.056436000,1787708128.778817000,16.722380876541138,0,0
768,1,PASS,1787708605.087778000,1787708621.816627000,16.728848934173584,0,0
768,2,PASS,1787708628.094118000,1787708644.766534000,16.67241597175598,0,0
768,3,PASS,1787708651.144793000,1787708667.829289000,16.68449592590332,0,0
768,4,PASS,1787708674.153210000,1787708690.923879000,16.770668983459473,0,0
768,5,PASS,1787708697.201752000,1787708713.910158000,16.7084059715271,0,0
1024,1,PASS,1787709185.735312000,1787709202.305175000,16.569863080978394,0,0
1024,2,PASS,1787709208.475733000,1787709225.164543000,16.688809871673584,0,0
1024,3,PASS,1787709231.355617000,1787709247.889940000,16.53432297706604,0,0
1024,4,PASS,1787709254.088741000,1787709270.727531000,16.638789892196655,0,0
1024,5,PASS,1787709276.922200000,1787709293.580268000,16.65806794166565,0,0
