ts,tag,memtotal_kb,memavail_kb,load
2026-08-26T01:33:56Z,startup-512-1,479152,374544,0.16 0.03 0.01 2/96 10
2026-08-26T01:34:18Z,startup-512-2,479152,370252,0.07 0.02 0.00 1/96 9
2026-08-26T01:34:42Z,startup-512-3,479152,372308,0.07 0.02 0.00 2/97 8
2026-08-26T01:35:07Z,startup-512-4,479152,371092,0.07 0.02 0.00 6/95 9
2026-08-26T01:35:30Z,startup-512-5,479152,368236,0.07 0.02 0.00 3/96 9
2026-08-26T01:35:43Z,idle-512-1,479152,367292,0.06 0.01 0.00 1/96 9
2026-08-26T01:35:48Z,idle-512-2,479152,365648,0.05 0.01 0.00 1/97 9
2026-08-26T01:35:54Z,idle-512-3,479152,367988,0.05 0.01 0.00 11/97 10
2026-08-26T01:36:00Z,idle-512-4,479152,367656,0.04 0.01 0.00 5/96 9
2026-08-26T01:36:06Z,idle-512-5,479152,365608,0.04 0.01 0.00 10/96 8
2026-08-26T01:36:11Z,idle-512-6,479152,362564,0.04 0.01 0.00 1/96 9
2026-08-26T01:36:26Z,mem-idle-512,479152,355832,0.27 0.06 0.02 1/97 9
2026-08-26T01:36:32Z,mem-load-512,479152,363132,0.23 0.06 0.02 4/98 9
2026-08-26T01:36:43Z,mem-hold10-512,479152,362816,0.19 0.06 0.01 8/98 10
2026-08-26T01:36:46Z,mem-release-512,479152,365092,0.19 0.06 0.01 5/98 9
2026-08-26T01:36:56Z,mem-after10-512,479152,360604,0.16 0.05 0.01 7/97 9
2026-08-26T01:37:17Z,mem-after30-512,479152,364004,0.10 0.05 0.01 2/97 8
2026-08-26T01:37:26Z,compose-up-512,479152,308096,0.10 0.05 0.01 1/189 9
2026-08-26T01:38:09Z,soak-512-1,479152,366384,0.07 0.02 0.00 1/96 11
2026-08-26T01:38:40Z,soak-512-2,479152,362780,0.04 0.01 0.00 4/96 9
2026-08-26T01:39:11Z,soak-512-3,479152,358908,0.10 0.03 0.00 6/98 9
2026-08-26T01:39:42Z,soak-512-4,479152,360772,0.06 0.02 0.00 1/99 9
2026-08-26T01:40:14Z,soak-512-5,479152,365796,0.03 0.02 0.00 2/99 8
2026-08-26T01:40:45Z,soak-512-6,479152,359416,0.02 0.02 0.00 9/99 9
2026-08-26T01:41:16Z,soak-512-7,479152,362336,0.08 0.03 0.00 5/106 10
2026-08-26T01:41:47Z,soak-512-8,479152,361820,0.05 0.03 0.00 5/101 9
2026-08-26T01:42:19Z,soak-512-9,479152,359908,0.02 0.02 0.00 1/102 9
2026-08-26T01:42:50Z,soak-512-10,479152,362304,0.01 0.02 0.00 1/102 9
2026-08-26T01:43:43Z,startup-768-1,735404,548900,0.07 0.02 0.00 1/96 10
2026-08-26T01:44:06Z,startup-768-2,735404,558992,0.07 0.02 0.00 2/98 11
2026-08-26T01:44:29Z,startup-768-3,735404,552620,0.07 0.02 0.00 3/96 9
2026-08-26T01:44:52Z,startup-768-4,735404,554920,0.07 0.02 0.00 2/97 9
2026-08-26T01:45:15Z,startup-768-5,735404,547296,0.07 0.02 0.00 2/97 9
2026-08-26T01:45:28Z,idle-768-1,735404,551520,0.06 0.01 0.00 6/97 10
2026-08-26T01:45:33Z,idle-768-2,735404,551368,0.05 0.01 0.00 8/98 9
2026-08-26T01:45:39Z,idle-768-3,735404,551056,0.05 0.01 0.00 2/99 9
2026-08-26T01:45:45Z,idle-768-4,735404,550852,0.04 0.01 0.00 2/98 11
2026-08-26T01:45:51Z,idle-768-5,735404,552608,0.04 0.01 0.00 1/99 9
2026-08-26T01:45:56Z,idle-768-6,735404,552576,0.11 0.03 0.01 4/98 9
2026-08-26T01:46:12Z,mem-idle-768,735404,537304,0.24 0.06 0.02 7/98 8
2026-08-26T01:46:18Z,mem-load-768,735404,539400,0.22 0.06 0.02 4/99 10
2026-08-26T01:46:29Z,mem-hold10-768,735404,538128,0.18 0.06 0.01 11/106 9
2026-08-26T01:46:31Z,mem-release-768,735404,537924,0.18 0.06 0.01 9/98 9
2026-08-26T01:46:42Z,mem-after10-768,735404,542844,0.14 0.05 0.01 12/99 9
2026-08-26T01:47:03Z,mem-after30-768,735404,535544,0.10 0.05 0.01 1/99 9
2026-08-26T01:47:12Z,compose-up-768,735404,457648,0.09 0.05 0.01 2/189 9
2026-08-26T01:47:50Z,soak-768-1,735404,553888,0.23 0.05 0.02 1/96 8
2026-08-26T01:48:21Z,soak-768-2,735404,548612,0.14 0.04 0.01 2/97 9
2026-08-26T01:48:53Z,soak-768-3,735404,548868,0.08 0.04 0.01 3/97 9
2026-08-26T01:49:24Z,soak-768-4,735404,558992,0.05 0.03 0.01 9/99 9
2026-08-26T01:49:55Z,soak-768-5,735404,548168,0.07 0.04 0.01 1/98 10
2026-08-26T01:50:26Z,soak-768-6,735404,547564,0.04 0.04 0.01 9/99 10
2026-08-26T01:50:57Z,soak-768-7,735404,548820,0.03 0.03 0.00 8/99 9
2026-08-26T01:51:28Z,soak-768-8,735404,546788,0.01 0.03 0.00 10/100 10
2026-08-26T01:51:59Z,soak-768-9,735404,548676,0.17 0.06 0.01 6/99 10
2026-08-26T01:52:31Z,soak-768-10,735404,546160,0.10 0.05 0.01 4/100 9
2026-08-26T01:53:23Z,startup-1024-1,992936,814872,0.07 0.02 0.00 4/97 9
2026-08-26T01:53:46Z,startup-1024-2,992936,811432,0.14 0.03 0.01 4/97 9
2026-08-26T01:54:09Z,startup-1024-3,992936,808408,0.07 0.02 0.00 5/96 9
2026-08-26T01:54:32Z,startup-1024-4,992936,815352,0.07 0.02 0.00 1/97 9
2026-08-26T01:54:54Z,startup-1024-5,992936,807060,0.07 0.02 0.00 1/97 9
2026-08-26T01:55:07Z,idle-1024-1,992936,815436,0.06 0.01 0.00 10/99 9
2026-08-26T01:55:13Z,idle-1024-2,992936,811992,0.05 0.01 0.00 8/99 8
2026-08-26T01:55:18Z,idle-1024-3,992936,808352,0.05 0.01 0.00 6/100 9
2026-08-26T01:55:24Z,idle-1024-4,992936,807456,0.04 0.01 0.00 3/99 10
2026-08-26T01:55:30Z,idle-1024-5,992936,810084,0.04 0.01 0.00 4/99 9
2026-08-26T01:55:35Z,idle-1024-6,992936,812280,0.04 0.01 0.00 5/99 9
2026-08-26T01:55:50Z,mem-idle-1024,992936,795516,0.03 0.01 0.00 1/105 9
2026-08-26T01:55:56Z,mem-load-1024,992936,795492,0.02 0.01 0.00 8/106 9
2026-08-26T01:56:06Z,mem-hold10-1024,992936,793696,0.02 0.01 0.00 10/106 8
2026-08-26T01:56:09Z,mem-release-1024,992936,795940,0.02 0.01 0.00 1/106 10
2026-08-26T01:56:20Z,mem-after10-1024,992936,794628,0.02 0.01 0.00 6/103 10
2026-08-26T01:56:40Z,mem-after30-1024,992936,802136,0.01 0.01 0.00 10/102 9
2026-08-26T01:56:49Z,compose-up-1024,992936,708612,0.17 0.04 0.01 9/188 9
2026-08-26T01:57:28Z,soak-1024-1,992936,800380,0.15 0.03 0.01 3/97 9
2026-08-26T01:57:59Z,soak-1024-2,992936,806740,0.09 0.03 0.01 4/97 9
2026-08-26T01:58:30Z,soak-1024-3,992936,798384,0.05 0.02 0.00 10/99 10
2026-08-26T01:59:01Z,soak-1024-4,992936,807556,0.03 0.02 0.00 6/100 9
2026-08-26T01:59:32Z,soak-1024-5,992936,803696,0.02 0.02 0.00 3/100 9
2026-08-26T02:00:03Z,soak-1024-6,992936,808576,0.01 0.02 0.00 4/99 9
2026-08-26T02:00:35Z,soak-1024-7,992936,807416,0.00 0.01 0.00 1/100 9
2026-08-26T02:01:06Z,soak-1024-8,992936,806060,0.00 0.01 0.00 7/99 9
2026-08-26T02:01:37Z,soak-1024-9,992936,809084,0.10 0.04 0.01 7/100 9
2026-08-26T02:02:08Z,soak-1024-10,992936,802076,0.06 0.03 0.00 4/100 9
