timestamp,tier,label,mem_total_kib,mem_available_kib,load1,load5,load15,process_count
2026-08-26T02:16:59Z,512,idle-512-1,479152,372480,0.22,0.05,0.01,4
2026-08-26T02:17:05Z,512,idle-512-2,479152,368132,0.20,0.05,0.01,4
2026-08-26T02:17:11Z,512,idle-512-3,479152,368972,0.18,0.05,0.01,4
2026-08-26T02:17:17Z,512,idle-512-4,479152,366968,0.17,0.05,0.01,4
2026-08-26T02:17:23Z,512,idle-512-5,479152,365780,0.15,0.04,0.01,4
2026-08-26T02:17:29Z,512,idle-512-6,479152,362012,0.13,0.04,0.01,4
2026-08-26T02:17:35Z,512,mem-idle-512,479152,364340,0.12,0.04,0.01,4
2026-08-26T02:17:43Z,512,mem-load-512,479152,226796,0.11,0.04,0.01,4
2026-08-26T02:17:54Z,512,mem-hold10-512,479152,225604,0.16,0.05,0.02,4
2026-08-26T02:18:15Z,512,mem-hold30-512,479152,225500,0.11,0.05,0.01,4
2026-08-26T02:18:19Z,512,mem-release-512,479152,359976,0.11,0.05,0.01,4
2026-08-26T02:18:30Z,512,mem-after10-512,479152,360392,0.22,0.08,0.02,4
2026-08-26T02:18:51Z,512,mem-after30-512,479152,357700,0.16,0.07,0.02,4
2026-08-26T02:19:01Z,512,compose-up-512,479152,309964,0.13,0.07,0.02,4
2026-08-26T02:20:10Z,768,idle-768-1,735404,563236,0.06,0.02,0.00,4
2026-08-26T02:20:16Z,768,idle-768-2,735404,551256,0.05,0.01,0.00,4
2026-08-26T02:20:22Z,768,idle-768-3,735404,548464,0.05,0.01,0.00,4
2026-08-26T02:20:28Z,768,idle-768-4,735404,548328,0.04,0.01,0.00,4
2026-08-26T02:20:34Z,768,idle-768-5,735404,554012,0.04,0.01,0.00,4
2026-08-26T02:20:40Z,768,idle-768-6,735404,554428,0.03,0.01,0.00,4
2026-08-26T02:20:46Z,768,mem-idle-768,735404,549408,0.03,0.01,0.00,4
2026-08-26T02:20:51Z,768,mem-load-768,735404,409872,0.03,0.01,0.00,4
2026-08-26T02:21:02Z,768,mem-hold10-768,735404,404880,0.10,0.03,0.01,4
2026-08-26T02:21:23Z,768,mem-hold30-768,735404,405908,0.07,0.02,0.00,4
2026-08-26T02:21:27Z,768,mem-release-768,735404,552180,0.07,0.02,0.00,4
2026-08-26T02:21:38Z,768,mem-after10-768,735404,546228,0.06,0.02,0.00,4
2026-08-26T02:21:59Z,768,mem-after30-768,735404,554120,0.10,0.04,0.01,4
2026-08-26T02:22:09Z,768,compose-up-768,735404,462960,0.25,0.07,0.02,4
2026-08-26T02:23:18Z,1024,idle-1024-1,992936,814912,0.06,0.02,0.00,4
2026-08-26T02:23:25Z,1024,idle-1024-2,992936,807096,0.13,0.03,0.01,4
2026-08-26T02:23:31Z,1024,idle-1024-3,992936,812100,0.12,0.03,0.01,4
2026-08-26T02:23:37Z,1024,idle-1024-4,992936,812212,0.11,0.03,0.01,4
2026-08-26T02:23:43Z,1024,idle-1024-5,992936,815224,0.10,0.03,0.01,4
2026-08-26T02:23:49Z,1024,idle-1024-6,992936,809648,0.16,0.04,0.01,4
2026-08-26T02:23:55Z,1024,mem-idle-1024,992936,806496,0.15,0.04,0.01,4
2026-08-26T02:23:59Z,1024,mem-load-1024,992936,663980,0.14,0.04,0.01,4
2026-08-26T02:24:10Z,1024,mem-hold10-1024,992936,664728,0.12,0.04,0.01,4
2026-08-26T02:24:32Z,1024,mem-hold30-1024,992936,665544,0.08,0.04,0.01,4
2026-08-26T02:24:35Z,1024,mem-release-1024,992936,805556,0.08,0.04,0.01,4
2026-08-26T02:24:46Z,1024,mem-after10-1024,992936,803716,0.06,0.03,0.01,4
2026-08-26T02:25:07Z,1024,mem-after30-1024,992936,805756,0.04,0.03,0.00,4
2026-08-26T02:25:17Z,1024,compose-up-1024,992936,725524,0.44,0.11,0.03,4
