timestamp,tier,variant,phase,mem_total_kib,mem_available_kib,load1,load5,load15,process_count
2026-08-26T04:47:32Z,512,before,idle-1,479152,374744,0.05,0.01,0.00,4
2026-08-26T04:47:39Z,512,before,idle-2,479152,371376,0.05,0.01,0.00,4
2026-08-26T04:47:46Z,512,before,idle-3,479152,369652,0.04,0.01,0.00,4
2026-08-26T04:47:52Z,512,before,idle-4,479152,367312,0.04,0.01,0.00,4
2026-08-26T04:47:59Z,512,before,idle-5,479152,366064,0.03,0.01,0.00,4
2026-08-26T04:48:05Z,512,before,idle-6,479152,357780,0.03,0.01,0.00,4
2026-08-26T04:49:13Z,512,before,mem-idle,479152,366980,0.01,0.00,0.00,4
2026-08-26T04:49:18Z,512,before,mem-load,479152,221408,0.01,0.00,0.00,3
2026-08-26T04:49:24Z,512,before,mem-hold10,479152,223260,0.01,0.00,0.00,4
2026-08-26T04:49:36Z,512,before,mem-hold30,479152,220836,0.00,0.00,0.00,4
2026-08-26T04:49:40Z,512,before,mem-release,479152,359976,0.00,0.00,0.00,4
2026-08-26T04:49:51Z,512,before,mem-after10,479152,366944,0.00,0.00,0.00,4
2026-08-26T04:50:13Z,512,before,mem-after30,479152,355332,0.00,0.00,0.00,3
2026-08-26T04:50:24Z,512,before,compose-up,479152,311132,0.00,0.00,0.00,4
2026-08-26T04:51:42Z,512,after,idle-1,479152,369996,0.05,0.01,0.00,4
2026-08-26T04:51:48Z,512,after,idle-2,479152,363504,0.05,0.01,0.00,4
2026-08-26T04:51:55Z,512,after,idle-3,479152,371884,0.04,0.01,0.00,4
2026-08-26T04:52:02Z,512,after,idle-4,479152,361240,0.04,0.01,0.00,4
2026-08-26T04:52:08Z,512,after,idle-5,479152,362392,0.03,0.01,0.00,4
2026-08-26T04:52:15Z,512,after,idle-6,479152,368980,0.03,0.01,0.00,4
2026-08-26T04:53:22Z,512,after,mem-idle,479152,361192,0.08,0.02,0.00,4
2026-08-26T04:53:27Z,512,after,mem-load,479152,221952,0.07,0.02,0.00,4
2026-08-26T04:53:34Z,512,after,mem-hold10,479152,219276,0.06,0.02,0.00,4
2026-08-26T04:53:45Z,512,after,mem-hold30,479152,221268,0.05,0.02,0.00,4
2026-08-26T04:53:49Z,512,after,mem-release,479152,364944,0.05,0.02,0.00,4
2026-08-26T04:54:01Z,512,after,mem-after10,479152,363288,0.04,0.02,0.00,4
2026-08-26T04:54:22Z,512,after,mem-after30,479152,358332,0.03,0.02,0.00,4
2026-08-26T04:54:33Z,512,after,compose-up,479152,311000,0.02,0.01,0.00,4
2026-08-26T04:55:51Z,768,before,idle-1,735404,553400,0.05,0.01,0.00,4
2026-08-26T04:55:58Z,768,before,idle-2,735404,548540,0.05,0.01,0.00,4
2026-08-26T04:56:05Z,768,before,idle-3,735404,547740,0.04,0.01,0.00,3
2026-08-26T04:56:11Z,768,before,idle-4,735404,549340,0.04,0.01,0.00,3
2026-08-26T04:56:18Z,768,before,idle-5,735404,553224,0.03,0.01,0.00,4
2026-08-26T04:56:25Z,768,before,idle-6,735404,546556,0.03,0.01,0.00,4
2026-08-26T04:57:32Z,768,before,mem-idle,735404,545240,0.01,0.00,0.00,4
2026-08-26T04:57:37Z,768,before,mem-load,735404,404148,0.01,0.00,0.00,4
2026-08-26T04:57:44Z,768,before,mem-hold10,735404,400412,0.01,0.00,0.00,4
2026-08-26T04:57:55Z,768,before,mem-hold30,735404,402676,0.00,0.00,0.00,4
2026-08-26T04:57:59Z,768,before,mem-release,735404,553172,0.00,0.00,0.00,4
2026-08-26T04:58:10Z,768,before,mem-after10,735404,545384,0.00,0.00,0.00,4
2026-08-26T04:58:32Z,768,before,mem-after30,735404,542156,0.08,0.02,0.01,4
2026-08-26T04:58:43Z,768,before,compose-up,735404,460668,0.14,0.03,0.01,4
2026-08-26T05:00:01Z,768,after,idle-1,735404,559944,0.05,0.01,0.00,4
2026-08-26T05:00:08Z,768,after,idle-2,735404,553604,0.05,0.01,0.00,4
2026-08-26T05:00:15Z,768,after,idle-3,735404,557856,0.04,0.01,0.00,4
2026-08-26T05:00:21Z,768,after,idle-4,735404,550904,0.04,0.01,0.00,4
2026-08-26T05:00:28Z,768,after,idle-5,735404,548836,0.03,0.01,0.00,4
2026-08-26T05:00:34Z,768,after,idle-6,735404,549880,0.03,0.01,0.00,4
2026-08-26T05:01:41Z,768,after,mem-idle,735404,552316,0.04,0.02,0.00,4
2026-08-26T05:01:46Z,768,after,mem-load,735404,405808,0.04,0.02,0.00,4
2026-08-26T05:01:53Z,768,after,mem-hold10,735404,404552,0.03,0.02,0.00,4
2026-08-26T05:02:05Z,768,after,mem-hold30,735404,404296,0.03,0.02,0.00,4
2026-08-26T05:02:08Z,768,after,mem-release,735404,552252,0.02,0.02,0.00,4
2026-08-26T05:02:20Z,768,after,mem-after10,735404,546348,0.02,0.02,0.00,4
2026-08-26T05:02:41Z,768,after,mem-after30,735404,552424,0.01,0.02,0.00,4
2026-08-26T05:02:52Z,768,after,compose-up,735404,472568,0.01,0.01,0.00,4
2026-08-26T05:04:09Z,1024,before,idle-1,992936,815960,0.00,0.00,0.00,4
2026-08-26T05:04:16Z,1024,before,idle-2,992936,814924,0.08,0.02,0.01,4
2026-08-26T05:04:23Z,1024,before,idle-3,992936,810852,0.07,0.02,0.00,4
2026-08-26T05:04:29Z,1024,before,idle-4,992936,809432,0.06,0.02,0.00,4
2026-08-26T05:04:36Z,1024,before,idle-5,992936,809724,0.06,0.01,0.00,4
2026-08-26T05:04:42Z,1024,before,idle-6,992936,808628,0.05,0.01,0.00,4
2026-08-26T05:05:49Z,1024,before,mem-idle,992936,811772,0.01,0.01,0.00,4
2026-08-26T05:05:55Z,1024,before,mem-load,992936,665724,0.01,0.01,0.00,4
2026-08-26T05:06:02Z,1024,before,mem-hold10,992936,664240,0.01,0.01,0.00,4
2026-08-26T05:06:13Z,1024,before,mem-hold30,992936,662440,0.01,0.01,0.00,4
2026-08-26T05:06:17Z,1024,before,mem-release,992936,812772,0.01,0.00,0.00,4
