timestamp,tier,variant,phase,harpoon_pid,harpoon_rss_kib,harpoon_cpu_pct,harpoon_threads,harpoon_fds,vm_pid,vm_rss_kib,vm_cpu_pct,vm_threads,vm_fds,combined_rss_kib
2026-08-26T04:47:31Z,512,before,idle-1,36750,14752,1.1,7,15,,,,,,14752
2026-08-26T04:47:38Z,512,before,idle-2,36750,14912,3.0,5,15,,,,,,14912
2026-08-26T04:47:45Z,512,before,idle-3,36750,14832,1.4,3,17,,,,,,14832
2026-08-26T04:47:51Z,512,before,idle-4,36750,14832,1.1,6,17,,,,,,14832
2026-08-26T04:47:58Z,512,before,idle-5,36750,14672,0.8,4,17,,,,,,14672
2026-08-26T04:48:05Z,512,before,idle-6,36750,14608,1.0,3,17,,,,,,14608
2026-08-26T04:49:12Z,512,before,mem-idle,36750,14448,1.3,5,17,,,,,,14448
2026-08-26T04:49:17Z,512,before,mem-load,36750,14752,1.4,4,17,,,,,,14752
2026-08-26T04:49:24Z,512,before,mem-hold10,36750,15104,1.1,11,17,,,,,,15104
2026-08-26T04:49:35Z,512,before,mem-hold30,36750,14784,0.8,4,17,,,,,,14784
2026-08-26T04:49:39Z,512,before,mem-release,36750,14864,1.6,6,17,,,,,,14864
2026-08-26T04:49:50Z,512,before,mem-after10,36750,14656,0.6,7,17,,,,,,14656
2026-08-26T04:50:12Z,512,before,mem-after30,36750,14736,0.3,6,17,,,,,,14736
2026-08-26T04:50:23Z,512,before,compose-up,36750,15456,2.2,11,19,,,,,,15456
2026-08-26T04:51:41Z,512,after,idle-1,39635,15008,1.5,6,17,,,,,,15008
2026-08-26T04:51:48Z,512,after,idle-2,39635,15056,1.1,4,17,,,,,,15056
2026-08-26T04:51:54Z,512,after,idle-3,39635,15136,1.0,4,17,,,,,,15136
2026-08-26T04:52:01Z,512,after,idle-4,39635,14976,0.8,6,17,,,,,,14976
2026-08-26T04:52:08Z,512,after,idle-5,39635,14704,0.7,5,17,,,,,,14704
2026-08-26T04:52:14Z,512,after,idle-6,39635,14832,1.2,4,17,,,,,,14832
2026-08-26T04:53:21Z,512,after,mem-idle,39635,14656,1.6,6,17,,,,,,14656
2026-08-26T04:53:27Z,512,after,mem-load,39635,14896,1.0,5,17,,,,,,14896
2026-08-26T04:53:33Z,512,after,mem-hold10,39635,14912,1.0,6,17,,,,,,14912
2026-08-26T04:53:45Z,512,after,mem-hold30,39635,14848,0.9,4,17,,,,,,14848
2026-08-26T04:53:49Z,512,after,mem-release,39635,14880,4.5,5,17,,,,,,14880
2026-08-26T04:54:00Z,512,after,mem-after10,39635,14864,1.0,6,17,,,,,,14864
2026-08-26T04:54:21Z,512,after,mem-after30,39635,14816,0.6,6,17,,,,,,14816
2026-08-26T04:54:32Z,512,after,compose-up,39635,15568,1.7,12,19,,,,,,15568
2026-08-26T04:55:50Z,768,before,idle-1,42433,14848,1.3,6,29,,,,,,14848
2026-08-26T04:55:57Z,768,before,idle-2,42433,14992,1.0,5,29,,,,,,14992
2026-08-26T04:56:04Z,768,before,idle-3,42433,14944,0.5,4,29,,,,,,14944
2026-08-26T04:56:11Z,768,before,idle-4,42433,14768,1.1,6,29,,,,,,14768
2026-08-26T04:56:17Z,768,before,idle-5,42433,14704,1.9,4,21,,,,,,14704
2026-08-26T04:56:24Z,768,before,idle-6,42433,14576,1.0,3,21,,,,,,14576
2026-08-26T04:57:31Z,768,before,mem-idle,42433,14400,0.9,5,21,,,,,,14400
2026-08-26T04:57:36Z,768,before,mem-load,42433,14768,1.3,5,21,,,,,,14768
2026-08-26T04:57:43Z,768,before,mem-hold10,42433,14784,0.7,7,21,,,,,,14784
2026-08-26T04:57:54Z,768,before,mem-hold30,42433,14656,0.9,7,21,,,,,,14656
2026-08-26T04:57:58Z,768,before,mem-release,42433,14736,1.2,5,21,,,,,,14736
2026-08-26T04:58:10Z,768,before,mem-after10,42433,14752,1.1,5,21,,,,,,14752
2026-08-26T04:58:31Z,768,before,mem-after30,42433,14736,0.7,6,21,,,,,,14736
2026-08-26T04:58:42Z,768,before,compose-up,42433,15200,1.9,8,23,,,,,,15200
2026-08-26T05:00:00Z,768,after,idle-1,45309,14672,1.4,7,17,,,,,,14672
2026-08-26T05:00:07Z,768,after,idle-2,45309,14528,0.9,5,17,,,,,,14528
