timestamp,tier,phase,mem_total_kib,mem_available_kib
2026-08-26T12:29:36Z,512,idle-settled,479152,373692
2026-08-26T12:29:47Z,512,hold-5s,479152,227556
2026-08-26T12:29:59Z,512,hold-10s,479152,221244
2026-08-26T12:30:31Z,512,hold-30s,479152,222172
2026-08-26T12:30:34Z,512,release-immediate,479152,362820
2026-08-26T12:30:48Z,512,release-10s,479152,363468
2026-08-26T12:31:20Z,512,release-30s,479152,362380
2026-08-26T12:32:22Z,512,release-60s,479152,366244
2026-08-26T12:32:57Z,768,idle-settled,735404,561780
2026-08-26T12:33:07Z,768,hold-5s,735404,411432
2026-08-26T12:33:19Z,768,hold-10s,735404,412996
2026-08-26T12:33:51Z,768,hold-30s,735404,407900
2026-08-26T12:33:55Z,768,release-immediate,735404,548304
2026-08-26T12:34:09Z,768,release-10s,735404,549716
2026-08-26T12:34:40Z,768,release-30s,735404,549336
2026-08-26T12:35:42Z,768,release-60s,735404,541464
2026-08-26T12:36:17Z,1024,idle-settled,992936,802112
2026-08-26T12:36:28Z,1024,hold-5s,992936,663208
2026-08-26T12:36:40Z,1024,hold-10s,992936,659216
2026-08-26T12:37:12Z,1024,hold-30s,992936,670548
2026-08-26T12:37:16Z,1024,release-immediate,992936,800544
2026-08-26T12:37:30Z,1024,release-10s,992936,802800
2026-08-26T12:38:02Z,1024,release-30s,992936,802392
2026-08-26T12:39:03Z,1024,release-60s,992936,807172
