timestamp,tier,phase,harpoon_pid,harpoon_rss_kib,harpoon_cpu_pct,vm_pid,vm_rss_kib,vm_cpu_pct,combined_rss_kib,balloon_target_bytes
2026-08-26T12:29:34Z,512,idle-settled,75617,14576,0.3,,,,14576,
2026-08-26T12:29:46Z,512,hold-5s,75617,14624,1.4,,,,14624,
2026-08-26T12:29:58Z,512,hold-10s,75617,14720,1.3,,,,14720,
2026-08-26T12:30:30Z,512,hold-30s,75617,14896,1.5,,,,14896,
2026-08-26T12:30:34Z,512,release-immediate,75617,15024,1.0,,,,15024,
2026-08-26T12:30:48Z,512,release-10s,75617,14544,1.5,,,,14544,
2026-08-26T12:31:19Z,512,release-30s,75617,14688,1.3,,,,14688,
2026-08-26T12:32:21Z,512,release-60s,75617,14560,0.7,,,,14560,
2026-08-26T12:32:56Z,768,idle-settled,77378,14240,0.2,,,,14240,
2026-08-26T12:33:07Z,768,hold-5s,77378,14544,1.2,,,,14544,
2026-08-26T12:33:18Z,768,hold-10s,77378,14448,1.6,,,,14448,
2026-08-26T12:33:50Z,768,hold-30s,77378,14880,1.9,,,,14880,
2026-08-26T12:33:54Z,768,release-immediate,77378,15008,1.3,,,,15008,
2026-08-26T12:34:08Z,768,release-10s,77378,14688,1.1,,,,14688,
2026-08-26T12:34:40Z,768,release-30s,77378,14544,1.1,,,,14544,
2026-08-26T12:35:41Z,768,release-60s,77378,14592,0.9,,,,14592,
2026-08-26T12:36:16Z,1024,idle-settled,79149,14048,0.7,,,,14048,
2026-08-26T12:36:27Z,1024,hold-5s,79149,14560,1.2,,,,14560,
2026-08-26T12:36:39Z,1024,hold-10s,79149,14560,1.7,,,,14560,
2026-08-26T12:37:11Z,1024,hold-30s,79149,14384,1.3,,,,14384,
2026-08-26T12:37:15Z,1024,release-immediate,79149,14416,0.9,,,,14416,
2026-08-26T12:37:29Z,1024,release-10s,79149,14400,1.3,,,,14400,
2026-08-26T12:38:01Z,1024,release-30s,79149,14208,0.7,,,,14208,
2026-08-26T12:39:03Z,1024,release-60s,79149,14016,0.8,,,,14016,
