timestamp,tier,phase,mem_total_kib,mem_available_kib
2026-08-26T15:05:09Z,512,idle-settled,479152,367292
2026-08-26T15:05:24Z,512,hold-5s,479152,227660
2026-08-26T15:05:39Z,512,hold-10s,479152,220184
2026-08-26T15:06:14Z,512,hold-30s,479152,223364
2026-08-26T15:06:21Z,512,release-immediate,479152,367124
2026-08-26T15:06:40Z,512,release-10s,479152,363588
2026-08-26T15:07:15Z,512,release-30s,479152,366200
2026-08-26T15:08:20Z,512,release-60s,479152,360192
2026-08-26T15:09:01Z,768,idle-settled,735404,555480
2026-08-26T15:09:16Z,768,hold-5s,735404,403336
2026-08-26T15:09:31Z,768,hold-10s,735404,403468
2026-08-26T15:10:06Z,768,hold-30s,735404,400124
2026-08-26T15:10:13Z,768,release-immediate,735404,546748
2026-08-26T15:10:31Z,768,release-10s,735404,544852
2026-08-26T15:11:06Z,768,release-30s,735404,546372
2026-08-26T15:12:11Z,768,release-60s,735404,549616
2026-08-26T15:12:51Z,1024,idle-settled,992936,813804
2026-08-26T15:13:07Z,1024,hold-5s,992936,669848
2026-08-26T15:13:21Z,1024,hold-10s,992936,667504
2026-08-26T15:13:55Z,1024,hold-30s,992936,665624
2026-08-26T15:14:02Z,1024,release-immediate,992936,805360
2026-08-26T15:14:21Z,1024,release-10s,992936,800528
2026-08-26T15:14:55Z,1024,release-30s,992936,811792
2026-08-26T15:16:00Z,1024,release-60s,992936,802704
