timestamp,tier,phase,harpoon_pid,harpoon_rss_kib,harpoon_cpu_pct,vm_pid,vm_rss_kib,vm_cpu_pct,combined_rss_kib,balloon_target_bytes
2026-08-26T15:05:06Z,512,idle-settled,52258,13824,0.9,52259,89952,1.2,103776,
2026-08-26T15:05:22Z,512,hold-5s,52258,14272,0.2,52259,311056,1.0,325328,
2026-08-26T15:05:37Z,512,hold-10s,52258,14064,1.8,52259,164608,1.4,178672,
2026-08-26T15:06:12Z,512,hold-30s,52258,14256,1.3,52259,105344,1.3,119600,
2026-08-26T15:06:19Z,512,release-immediate,52258,14336,1.6,52259,184448,3.0,198784,
2026-08-26T15:06:38Z,512,release-10s,52258,14160,0.3,52259,182096,1.1,196256,
2026-08-26T15:07:12Z,512,release-30s,52258,14000,0.3,52259,87568,1.5,101568,
2026-08-26T15:08:17Z,512,release-60s,52258,14016,1.1,52259,102944,1.6,116960,
2026-08-26T15:08:59Z,768,idle-settled,56630,14496,3.6,56631,115152,1.3,129648,
2026-08-26T15:09:14Z,768,hold-5s,56630,14912,0.5,56631,317936,0.8,332848,
2026-08-26T15:09:29Z,768,hold-10s,56630,14688,1.2,56631,265680,2.0,280368,
2026-08-26T15:10:04Z,768,hold-30s,56630,14880,1.1,56631,108688,1.2,123568,
2026-08-26T15:10:10Z,768,release-immediate,56630,14960,1.7,56631,190368,0.9,205328,
2026-08-26T15:10:29Z,768,release-10s,56630,14784,0.3,56631,194784,3.0,209568,
2026-08-26T15:11:04Z,768,release-30s,56630,14688,0.7,56631,101904,0.9,116592,
2026-08-26T15:12:09Z,768,release-60s,56630,14128,1.6,56631,88464,1.0,102592,
2026-08-26T15:12:49Z,1024,idle-settled,60923,14304,1.5,60924,225456,4.1,239760,
2026-08-26T15:13:04Z,1024,hold-5s,60923,14592,1.1,60924,365088,1.1,379680,
2026-08-26T15:13:19Z,1024,hold-10s,60923,14288,0.4,60924,87584,1.2,101872,
2026-08-26T15:13:53Z,1024,hold-30s,60923,13968,1.2,60924,115568,2.3,129536,
2026-08-26T15:14:00Z,1024,release-immediate,60923,14144,2.0,60924,185472,1.1,199616,
2026-08-26T15:14:19Z,1024,release-10s,60923,14144,1.5,60924,201008,1.0,215152,
2026-08-26T15:14:53Z,1024,release-30s,60923,14112,0.3,60924,195440,1.5,209552,
2026-08-26T15:15:58Z,1024,release-60s,60923,14016,1.5,60924,167104,1.2,181120,
