timestamp,tier,phase,mem_total_kib,mem_available_kib
2026-08-26T15:26:11Z,512,idle-settled,479152,372460
2026-08-26T15:26:27Z,512,hold-5s,479152,229028
2026-08-26T15:26:42Z,512,hold-10s,479152,222936
2026-08-26T15:27:17Z,512,hold-30s,479152,224796
2026-08-26T15:27:24Z,512,release-immediate,479152,367648
2026-08-26T15:27:43Z,512,release-10s,479152,359984
2026-08-26T15:28:18Z,512,release-30s,479152,365816
2026-08-26T15:29:24Z,512,release-60s,479152,365296
2026-08-26T15:30:05Z,768,idle-settled,735404,554932
2026-08-26T15:30:20Z,768,hold-5s,735404,403848
2026-08-26T15:30:35Z,768,hold-10s,735404,408288
2026-08-26T15:31:10Z,768,hold-30s,735404,401444
2026-08-26T15:31:18Z,768,release-immediate,735404,550072
2026-08-26T15:31:37Z,768,release-10s,735404,551160
2026-08-26T15:32:13Z,768,release-30s,735404,547264
2026-08-26T15:33:18Z,768,release-60s,735404,547536
2026-08-26T15:33:59Z,1024,idle-settled,992936,811456
2026-08-26T15:34:15Z,1024,hold-5s,992936,665796
2026-08-26T15:34:30Z,1024,hold-10s,992936,669384
2026-08-26T15:35:06Z,1024,hold-30s,992936,669832
2026-08-26T15:35:13Z,1024,release-immediate,992936,807640
2026-08-26T15:35:32Z,1024,release-10s,992936,803404
2026-08-26T15:36:06Z,1024,release-30s,992936,803564
2026-08-26T15:37:11Z,1024,release-60s,992936,802900
