timestamp,tier,phase,mem_total_kib,mem_available_kib
2026-08-26T14:53:48Z,512,idle-settled,479152,368500
2026-08-26T14:54:03Z,512,hold-5s,479152,224940
2026-08-26T14:54:18Z,512,hold-10s,479152,225224
2026-08-26T14:54:53Z,512,hold-30s,479152,223664
2026-08-26T14:55:00Z,512,release-immediate,479152,362432
2026-08-26T14:55:14Z,512,release-10s,479152,363512
2026-08-26T14:55:49Z,512,release-30s,479152,365044
2026-08-26T14:56:54Z,512,release-60s,479152,364028
2026-08-26T14:57:35Z,768,idle-settled,735404,558540
2026-08-26T14:57:50Z,768,hold-5s,735404,402516
2026-08-26T14:58:05Z,768,hold-10s,735404,408064
2026-08-26T14:58:40Z,768,hold-30s,735404,405752
2026-08-26T14:58:47Z,768,release-immediate,735404,546232
2026-08-26T14:59:02Z,768,release-10s,735404,542692
2026-08-26T14:59:36Z,768,release-30s,735404,550196
2026-08-26T15:00:41Z,768,release-60s,735404,546624
2026-08-26T15:01:22Z,1024,idle-settled,992936,808088
2026-08-26T15:01:37Z,1024,hold-5s,992936,672028
2026-08-26T15:01:51Z,1024,hold-10s,992936,667396
2026-08-26T15:02:26Z,1024,hold-30s,992936,672440
2026-08-26T15:02:33Z,1024,release-immediate,992936,805004
2026-08-26T15:02:48Z,1024,release-10s,992936,812624
2026-08-26T15:03:23Z,1024,release-30s,992936,806828
2026-08-26T15:04:28Z,1024,release-60s,992936,804352
