timestamp,tier,phase,harpoon_pid,harpoon_rss_kib,harpoon_cpu_pct,vm_pid,vm_rss_kib,vm_cpu_pct,combined_rss_kib,balloon_target_bytes
2026-08-26T14:53:45Z,512,idle-settled,39734,14016,0.9,39735,89856,1.1,103872,
2026-08-26T14:54:01Z,512,hold-5s,39734,14720,1.6,39735,256048,1.7,270768,
2026-08-26T14:54:16Z,512,hold-10s,39734,14736,0.7,39735,173312,1.1,188048,
2026-08-26T14:54:51Z,512,hold-30s,39734,14752,1.4,39735,104944,1.0,119696,
2026-08-26T14:54:58Z,512,release-immediate,39734,14784,0.9,39735,174784,1.2,189568,
2026-08-26T14:55:12Z,512,release-10s,39734,14864,1.5,39735,175936,1.0,190800,
2026-08-26T14:55:47Z,512,release-30s,39734,14368,5.8,39735,112592,3.7,126960,
2026-08-26T14:56:52Z,512,release-60s,39734,14448,0.3,39735,89120,0.7,103568,
2026-08-26T14:57:33Z,768,idle-settled,43882,14704,1.7,43883,374352,1.3,389056,
2026-08-26T14:57:48Z,768,hold-5s,43882,14544,1.5,43883,285760,6.2,300304,
2026-08-26T14:58:03Z,768,hold-10s,43882,14496,1.3,43883,99632,1.4,114128,
2026-08-26T14:58:38Z,768,hold-30s,43882,14272,0.2,43883,158848,3.9,173120,
2026-08-26T14:58:45Z,768,release-immediate,43882,14368,0.6,43883,186080,1.6,200448,
2026-08-26T14:59:00Z,768,release-10s,43882,14320,1.6,43883,191408,1.0,205728,
2026-08-26T14:59:34Z,768,release-30s,43882,13808,1.1,43883,83952,0.9,97760,
2026-08-26T15:00:39Z,768,release-60s,43882,13872,4.1,43883,82944,1.3,96816,
2026-08-26T15:01:20Z,1024,idle-settled,48068,14848,1.4,48069,359696,1.3,374544,
2026-08-26T15:01:35Z,1024,hold-5s,48068,14816,0.1,48069,368576,0.8,383392,
2026-08-26T15:01:49Z,1024,hold-10s,48068,14784,1.8,48069,184208,2.4,198992,
2026-08-26T15:02:24Z,1024,hold-30s,48068,14832,1.5,48069,172256,1.4,187088,
2026-08-26T15:02:31Z,1024,release-immediate,48068,14784,1.3,48069,202576,0.9,217360,
2026-08-26T15:02:45Z,1024,release-10s,48068,14608,0.7,48069,146144,1.0,160752,
2026-08-26T15:03:20Z,1024,release-30s,48068,14656,0.3,48069,97872,1.0,112528,
2026-08-26T15:04:25Z,1024,release-60s,48068,13856,0.5,48069,85840,1.4,99696,
