timestamp,tier,phase,mem_total_kib,mem_available_kib
2026-08-26T15:18:50Z,512,idle-settled,479152,372644
2026-08-26T15:19:05Z,512,hold-5s,479152,230300
2026-08-26T15:19:20Z,512,hold-10s,479152,226328
2026-08-26T15:21:09Z,1024,idle-settled,992936,809248
2026-08-26T15:21:25Z,1024,hold-5s,992936,668108
2026-08-26T15:21:40Z,1024,hold-10s,992936,665256
2026-08-26T15:22:15Z,1024,hold-30s,992936,661204
2026-08-26T15:22:23Z,1024,release-immediate,992936,808192
2026-08-26T15:22:38Z,1024,release-10s,992936,807144
2026-08-26T15:23:14Z,1024,release-30s,992936,800332
2026-08-26T15:24:19Z,1024,release-60s,992936,806168
