timestamp,tier,phase,harpoon_pid,harpoon_rss_kib,harpoon_cpu_pct,vm_pid,vm_rss_kib,vm_cpu_pct,combined_rss_kib,balloon_target_bytes
2026-08-26T15:18:48Z,512,idle-settled,66137,14880,1.5,66138,414304,1.3,429184,
2026-08-26T15:19:03Z,512,hold-5s,66137,15200,0.8,66138,371808,0.9,387008,
2026-08-26T15:19:18Z,512,hold-10s,66137,14096,0.7,66138,92176,1.6,106272,
2026-08-26T15:20:30Z,768,idle-settled,68124,HARPOON_RSS_UNAVAILABLE,,VM_PID_UNAVAILABLE,VM_RSS_UNAVAILABLE,,VM_PID_UNAVAILABLE,
2026-08-26T15:21:07Z,1024,idle-settled,68674,14880,1.5,68675,371408,1.0,386288,
2026-08-26T15:21:23Z,1024,hold-5s,68674,14944,2.0,68675,355968,1.7,370912,
2026-08-26T15:21:38Z,1024,hold-10s,68674,14688,1.2,68675,288448,1.2,303136,
2026-08-26T15:22:13Z,1024,hold-30s,68674,14672,2.0,68675,143936,10.3,158608,
2026-08-26T15:22:20Z,1024,release-immediate,68674,14640,1.3,68675,209792,0.7,224432,
2026-08-26T15:22:36Z,1024,release-10s,68674,14592,1.5,68675,198592,1.0,213184,
2026-08-26T15:23:11Z,1024,release-30s,68674,14560,5.4,68675,109184,1.3,123744,
2026-08-26T15:24:17Z,1024,release-60s,68674,14592,0.9,68675,103808,0.9,118400,
